"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8303","User logout test @master @regression","chromium","Thu Mar 26 14:03:33 EDT 2026","passed","Thu Mar 26 14:03:41 EDT 2026","","Logout.spec.ts","",""
"","9568","User login test @master @sanity @regression","chromium","Tue Mar 31 18:49:17 EDT 2026","passed","Tue Mar 31 18:49:27 EDT 2026","","Login.spec.ts","",""
"","7850","Login Test with JSON Data: Valid login @datadriven","chromium","Fri Mar 20 18:49:46 EDT 2026","passed","Fri Mar 20 18:49:54 EDT 2026","","LoginDataDriven.spec.ts","",""
"","5687","Add product to cart test @master @regression","chromium","Thu Mar 26 14:03:18 EDT 2026","passed","Thu Mar 26 14:03:24 EDT 2026","","AddToCart.spec.ts","",""
"","5523","Login Test with CSV Data: Valid login @datadriven","chromium","Fri Mar 20 18:50:02 EDT 2026","passed","Fri Mar 20 18:50:08 EDT 2026","","LoginDataDriven.spec.ts","",""
"","5218","Product Search test @master @regression","chromium","Thu Mar 26 14:03:41 EDT 2026","passed","Thu Mar 26 14:03:46 EDT 2026","","SearchProduct.spec.ts","",""
"","5770","Login Test with JSON Data: Invalid login @datadriven","chromium","Fri Mar 20 18:49:57 EDT 2026","passed","Fri Mar 20 18:50:02 EDT 2026","","LoginDataDriven.spec.ts","",""
"","4697","Login Test with CSV Data: Invalid login @datadriven","chromium","Fri Mar 20 18:50:08 EDT 2026","passed","Fri Mar 20 18:50:13 EDT 2026","","LoginDataDriven.spec.ts","",""
"","12080","User login test","chromium","Wed Mar 18 18:26:10 EDT 2026","passed","Wed Mar 18 18:26:22 EDT 2026","","Login.spec.ts","",""
"","10865","User registration test","chromium","Wed Mar 18 11:21:06 EDT 2026","passed","Wed Mar 18 11:21:17 EDT 2026","","AccountRegistration.spec.ts","",""
"","14802","User registration test @master @sanity @regression","chromium","Tue Mar 31 18:48:59 EDT 2026","passed","Tue Mar 31 18:49:14 EDT 2026","","AccountRegistration.spec.ts","",""
"","15792","execute end-to-end test flow @end-to-end","chromium","Thu Mar 26 13:33:38 EDT 2026","passed","Thu Mar 26 13:33:54 EDT 2026","","EndToEndTest.spec.ts","",""
